,title,price,registration,km,displacement,hp,fuel,transmission,category,location,link,brand,town,model
3814,  Nissan Navara '18 NP 300,24000,07/2018,43513,2300,163,Diesel,Manual,Crew Cab/Pickup, EDESSA 58200,https://www.car.gr/classifieds/cars/view/331322829-nissan-navara?lang=en,Nissan,EDESSA,Navara
3815,  Suzuki SJ Samurai '99,8500,02/1999,75000,1300,80,Petrol,Manual,4x4/Jeep/Suv, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/330848312-suzuki-sj-samurai?lang=en,Suzuki,PTOLEMAIDA,Samurai
3816,  Kia Ceed '14,10300,06/2014,112000,1396,100,Diesel,Manual,Coupe-Sport, PTOLEMAIDA 50200,https://www.car.gr/classifieds/cars/view/330846787-kia-ceed?lang=en,Kia,PTOLEMAIDA,Ceed
3817,  Audi A4 '07  2.0 TFSI DTM Edition quattro,15000,01/2007,199000,2000,220,Petrol,Manual,Limousine/Sedan, KALAMATA 24100,https://www.car.gr/classifieds/cars/view/314485572-audi-a4?lang=en,Audi,KALAMATA,A4
3818,  Mini Cooper '16 PEPPER EDITION AUTO GEORGIADIS CARS,18990,10/2016,89000,1500,116,Diesel,Automatic,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760219-mini-cooper?lang=en,Mini,NIKAIA,Cooper
3819,  Audi A3 '19 BUSINESS 30 TDI GEORGIADIS CARS,18500,04/2019,125000,1600,110,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760218-audi-a3?lang=en,Audi,NIKAIA,A3
3820,  Mini Paceman '16 1.6 115D GEORGIADIS CARS,18500,10/2016,115001,1600,115,Diesel,Manual,Coupe-Sport, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760198-mini-paceman?lang=en,Mini,NIKAIA,Paceman
3821,  Suzuki SX4 S-Cross '16 GL DDIS GEORGIADIS CARS,15900,02/2016,110000,1600,120,Diesel,Manual,4x4/Jeep/Suv, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760171-suzuki-sx4-s-cross?lang=en,Suzuki,NIKAIA,SX4
3822,  Volkswagen Golf '17 1.6 ACTIVE GEORGIADIS CARS,14000,04/2017,111000,1600,110,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760158-volkswagen-golf?lang=en,Volkswagen,NIKAIA,Golf
3823,  Renault Clio '18 90 HP EXPRESSION ΟΘΟΝΗ NAVI GEORGIADIS CARS,11800,06/2018,73000,1500,90,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760152-renault-clio?lang=en,Renault,NIKAIA,Clio
3824,  Seat Ibiza '18 1.6 95 HP STYLE LED ΟΘΟΝΗGEORGIADIS CARS,12000,03/2018,150000,1600,94,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760136-seat-ibiza?lang=en,Seat,NIKAIA,Ibiza
3825,  Toyota Yaris '18 ΕΝΤRY LANE ASSIST 90 HP GEORGIADIS CARS,10300,03/2018,229000,1400,90,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760078-toyota-yaris?lang=en,Toyota,NIKAIA,Yaris
3826,  Hyundai i 20 '17 1.1D 75 HP GEORGIADIS CARS,9999,08/2017,135000,1100,75,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760063-hyundai-i-20?lang=en,Hyundai,NIKAIA,Unknown
3827,  Opel Astra '17 1.6 110 HP SELECTION GEORGIADIS CARS,9500,06/2017,256001,1600,110,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760042-opel-astra?lang=en,Opel,NIKAIA,Astra
3828,  Peugeot 208 '16 NAVI GEORGIADIS CARS,8999,01/2016,92000,1400,75,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330760031-peugeot-208?lang=en,Peugeot,NIKAIA,208
3829,  Seat Ibiza '18 1.6 REFERENCE GEORGIADIS CARS,7990,01/2018,320000,1600,80,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759996-seat-ibiza?lang=en,Seat,NIKAIA,Ibiza
3830,  Mercedes-Benz CLA 180 '16 URBAN ΔΕΡΜΑ ΦΙΜΕ ΤΖΑΜΙΑ GEORGIADIS CARS,24000,08/2016,72782,1500,109,Diesel,Manual,Limousine/Sedan, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759846-mercedes-benz-cla-180?lang=en,Mercedes-benz,NIKAIA,CLA
3831,  Bmw 116 '16 8T-STEPTRONIC GEORGIADIS CARS,18000,05/2016,118000,1500,116,Diesel,Automatic,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759790-bmw-116?lang=en,Bmw,NIKAIA,116
3832,  Opel Insignia '19 NAVI CAMERA NEW GEORGIADIS CARS,17700,01/2019,82229,1600,110,Diesel,Manual,Limousine/Sedan, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759785-opel-insignia?lang=en,Opel,NIKAIA,Insignia
3833,  Toyota Auris '16 LIVE 90 HP GEORGIADIS CARS,12500,06/2016,85787,1400,90,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759742-toyota-auris?lang=en,Toyota,NIKAIA,Auris
3834,  Ford Focus '18 TDCI ECO GEORGIADIS CARS,12800,02/2018,94444,1500,94,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759691-ford-focus?lang=en,Ford,NIKAIA,Focus
3835,  Toyota Yaris '18 COOL 90 HP GEORGIADIS CARS,11500,05/2018,101407,1400,90,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759682-toyota-yaris?lang=en,Toyota,NIKAIA,Yaris
3836,  Peugeot 208 '17 IΔΙΩΤΗΣ ACTIVE GEORGIADIS CARS,10000,10/2017,90872,1600,100,Diesel,Manual,Compact/Hatchback, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759668-peugeot-208?lang=en,Peugeot,NIKAIA,208
3837,  Opel Mokka '18 LED FACELIFT GEORGIADIS CARS,16899,01/2018,51000,1400,140,Petrol,Manual,4x4/Jeep/Suv, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759604-opel-mokka?lang=en,Opel,NIKAIA,Mokka
3838,  Mercedes-Benz CLA 180 '18 URBAN ΚΕΥLESS GEORGIADIS CARS,31000,09/2018,33000,1500,109,Diesel,Automatic,Limousine/Sedan, NIKAIA 18454,https://www.car.gr/classifieds/cars/view/330759575-mercedes-benz-cla-180?lang=en,Mercedes-benz,NIKAIA,CLA
3839,  Chevrolet Captiva '06 '06 7ΘΕΣΙΟ-ΑΥΤΟΜΑΤΟ,8500,01/2006,82000,2400,150,Petrol,Automatic,4x4/Jeep/Suv, XAIDARI 12461,https://www.car.gr/classifieds/cars/view/327016784-chevrolet-captiva?lang=en,Chevrolet,XAIDARI,Unknown
3840,  Fiat 500 '14  '14 CABRIO - ΕΚΔΟΣΗ S,12800,01/2014,69000,900000,105,Petrol,Manual,Convertible/Roadster, XAIDARI 12461,https://www.car.gr/classifieds/cars/view/327016773-fiat-500?lang=en,Fiat,XAIDARI,500
3841,  Chevrolet Spark '14,7800,01/2014,110000,1000,68,Petrol,Manual,Compact/Hatchback, XAIDARI 12461,https://www.car.gr/classifieds/cars/view/327016753-chevrolet-spark?lang=en,Chevrolet,XAIDARI,Spark
