,title,price,registration,km,displacement,hp,fuel,transmission,category,location,link,brand,town,model,zip_codes
3888,  Peugeot 3008 '18 EΛΛΗΝΙΚΟ ΑYTOMATO GT LINE GRIP EAT6 S&S 120HP F1 ,31000,01/2018,68800,1560,120,Diesel,Automatic,4x4/Jeep/Suv, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/325878439-peugeot-3008?lang=en,Peugeot,PERISTERI,3008,12132
3889,  Renault Megane '16 1.5 dCi Energy Intens AUTO-ΔΕΡΜΑ-PURE LED,17500,05/2016,92645,1461,110,Diesel,Automatic,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/324170597-renault-megane?lang=en,Renault,PERISTERI,Megane,12132
3890,  Citroen C3 '05 1ο χερι απο ΙΔΙΩΤΗ,3950,01/2005,101500,1400,80,Petrol,Manual,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/331319994-citroen-c3?lang=en,Citroen,PERISTERI,C3,12132
3891,  Volkswagen Passat '04 PASSAT ΙΔΙΩΤΗΣ,3200,02/2004,192000,1595,101,Petrol,Manual,Limousine/Sedan, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/329935057-volkswagen-passat?lang=en,Volkswagen,PERISTERI,Passat,12132
3892,  Renault Twingo '15 0.9 Energy Intens,10700,02/2015,86872,1000,90,Petrol,Manual,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/328747068-renault-twingo?lang=en,Renault,PERISTERI,Twingo,12132
3893,  Kia Picanto '15  1.2 Dream-Team Edition 2015,9500,04/2015,117000,1200,85,Petrol,Manual,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/326591473-kia-picanto?lang=en,Kia,PERISTERI,Picanto,12132
3894,  Nissan Primera '06 ΙΔΙΩΤΗΣ CLIMA ABS,4950,01/2006,164000,1600,110,Petrol,Manual,Limousine/Sedan, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/330062160-nissan-primera?lang=en,Nissan,PERISTERI,Primera,12132
3895,  Citroen C4 '14 EΛΛΗΝΙΚΟ ΑYTOMATO 110HP ΑΠΟ ΙΔΙΩΤΗ,10500,05/2014,130000,1600,115,Diesel,Automatic,Compact/Hatchback, PERISTERI 12132,https://www.car.gr/classifieds/cars/view/325898587-citroen-c4?lang=en,Citroen,PERISTERI,C4,12132
3896,  Mini Countryman '19,28500,09/2019,33000,1500,116,Diesel,Manual,4x4/Jeep/Suv, TRIKALA 42100,https://www.car.gr/classifieds/cars/view/327180594-mini-countryman?lang=en,Mini,TRIKALA,Countryman,42100
3897,  Citroen C3 '05,3400,01/2005,166530,1398,88,Petrol,Manual,Compact/Hatchback, KALAMARIA 55133,https://www.car.gr/classifieds/cars/view/331377580-citroen-c3?lang=en,Citroen,KALAMARIA,C3,55133
3898,  Ford C-Max '08 1.6 TDCI FACELIFT ,3750,01/2008,195000,1600,115,Diesel,Manual,Combi/Caravan, ALEKSANDREIA 59300,https://www.car.gr/classifieds/cars/view/331342248-ford-c-max?lang=en,Ford,ALEKSANDREIA,C-Max,59300
3899,  Kia Picanto '14 Kia Picanto '14 1.0 Morning ,9600,07/2014,102000,998000,69,Petrol,Manual,Compact/Hatchback, ARTA 47100,https://www.car.gr/classifieds/cars/view/326285841-kia-picanto?lang=en,Kia,ARTA,Picanto,47100
3900,  Opel Meriva '11  1.3 CDTI ecoFlex  Edition,8300,07/2011,220000,1248,95,Diesel,Manual,Compact/Hatchback, ARTA 47100,https://www.car.gr/classifieds/cars/view/330814983-opel-meriva?lang=en,Opel,ARTA,Meriva,47100
3901,  Dacia Sandero '15 STEPWAY 1.5 dci 90hp  Ελληνικής αντιπροσωπείας,11150,01/2015,71000,1500,90,Diesel,Manual,Compact/Hatchback, ATHINA 11527,https://www.car.gr/classifieds/cars/view/329539091-dacia-sandero?lang=en,Dacia,ATHINA,Unknown,11527
3902,  Audi A3 '08 S3 Louk,11900,01/2008,210000,1800,230,Petrol,Automatic,Compact/Hatchback, KERATSINI 18758,https://www.car.gr/classifieds/cars/view/329905234-audi-a3?lang=en,Audi,KERATSINI,A3,18758
3903,  Bmw 116 '18  Sport Line Steptronic,17999,05/2018,180000,1500,116,Diesel,Automatic,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/324645660-bmw-116?lang=en,Bmw,THERMI,116,57001
3904,  Mini ONE '15 1.5CC DIESEL ***EΛΛΗΝΙΚΟ***,14500,11/2015,144000,1500,95,Diesel,Manual,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/331342472-mini-one?lang=en,Mini,THERMI,One,57001
3905,  Suzuki Jimny '06 Οριστική διαγραφή ,1500,01/2006,1000,1300,90,Petrol,Manual,4x4/Jeep/Suv, DRAMA 66100,https://www.car.gr/classifieds/cars/view/27519228-suzuki-jimny-wanted?lang=en,Suzuki,DRAMA,Jimny,66100
3906,  Peugeot 207 '07,4000,04/2007,77000,1598,120,Petrol,Manual,Convertible/Roadster, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/327425107-peugeot-207?lang=en,Peugeot,IRAKLEIO,207,71410
3907,  Alfa Romeo Brera '07  3.2 JTS V6 24V Skyview,13000,04/2007,100000,3200,260,Petrol,Manual,Coupe-Sport, THERMI 57001,https://www.car.gr/classifieds/cars/view/326274423-alfa-romeo-brera?lang=en,Alfa romeo,THERMI,Brera,57001
3908,  Suzuki Swift '06 1.3CC FULL EXTRA*EΛΛΗΝΙΚΟ*,5999,03/2006,102000,1328,90,Petrol,Manual,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/331030950-suzuki-swift?lang=en,Suzuki,THERMI,Swift,57001
3909,  Honda Jazz '06,5900,06/2006,190000,1339,83,Petrol,Automatic,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/331057339-honda-jazz?lang=en,Honda,THERMI,Unknown,57001
3910,  Fiat Grande Punto '11 EVO 1.3 75HP DIESEL,6750,09/2011,169000,1300,75,Diesel,Manual,Compact/Hatchback, THERMI 57001,https://www.car.gr/classifieds/cars/view/329539901-fiat-grande-punto?lang=en,Fiat,THERMI,Punto,57001
3911,  Alfa Romeo Giulietta '12  1.4 TB 16V MultiAir Turismo TCT,16500,07/2012,125500,1400,170,Petrol,Automatic,Compact/Hatchback, ATHINA 11253,https://www.car.gr/classifieds/cars/view/327533630-alfa-romeo-giulietta?lang=en,Alfa romeo,ATHINA,Unknown,11253
3912,  Suzuki Swift '06 Οριστική διαγραφή ,1500,01/2006,1000,1300,90,Petrol,Manual,Compact/Hatchback, DRAMA 66100,https://www.car.gr/classifieds/cars/view/27644336-suzuki-swift-wanted?lang=en,Suzuki,DRAMA,Swift,66100
3913,  Suzuki Grand Vitara '03 Οριστική διαγραφή ,1500,01/2003,130000,1600,90,Petrol,Manual,4x4/Jeep/Suv, DRAMA 66100,https://www.car.gr/classifieds/cars/view/27806246-suzuki-grand-vitara-wanted?lang=en,Suzuki,DRAMA,Grand Vitara,66100
3914,  Fiat Panda '18,10000,05/2018,70200,1242,80,Petrol,Manual,Compact/Hatchback, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/328838030-fiat-panda?lang=en,Fiat,IRAKLEIO,Panda,71410
3915,  Mercedes-Benz E 200 '89 Sportline πληρωμένα τέλη ‘23,6000,09/1989,250000,1998,136,Petrol,Automatic,Limousine/Sedan, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/327665057-mercedes-benz-e-200?lang=en,Mercedes-benz,IRAKLEIO,E 200,71410
3916,  Citroen C4 '09,4000,01/2009,102000,1560,110,Petrol,Manual,Limousine/Sedan, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/327090302-citroen-c4?lang=en,Citroen,IRAKLEIO,C4,71410
3917,  Opel Corsa '15 Τελική τιμή ,8500,09/2015,108000,1000,90,Petrol,Manual,Compact/Hatchback, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/331371708-opel-corsa?lang=en,Opel,IRAKLEIO,Corsa,71410
3918,  Hyundai i 10 '12  1.2 full extra ΤΕΛΙΚΗ ΤΙΜΗ,7500,02/2012,155000,1248,80,Petrol,Manual,Compact/Hatchback, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/331342592-hyundai-i-10?lang=en,Hyundai,IRAKLEIO,Unknown,71410
3919,  Mini Cooper D '12 Pepper Diesel start stop,10000,06/2012,173000,1589,110,Diesel,Manual,Compact/Hatchback, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/330419631-mini-cooper-d?lang=en,Mini,IRAKLEIO,Cooper,71410
3920,  Citroen C1 '19  VTi 72 Stop&Start Shine,12500,10/2019,8764,998000,72,Petrol,Manual,Compact/Hatchback, IRAKLEIO 71410,https://www.car.gr/classifieds/cars/view/329468979-citroen-c1?lang=en,Citroen,IRAKLEIO,C1,71410
3921,  Toyota Yaris '13 ΑΡΙΣΤΟ!!!  Διζωνικό κλίμα GPS ,10500,08/2013,172211,1400,90,Diesel,Manual,Coupe-Sport, SOFADES 43300,https://www.car.gr/classifieds/cars/view/327318778-toyota-yaris?lang=en,Toyota,SOFADES,Yaris,43300
3922,  Mitsubishi Space Star '18,9800,10/2018,108546,1000,85,Petrol,Manual,Compact/Hatchback, SOFADES 43300,https://www.car.gr/classifieds/cars/view/326888251-mitsubishi-space-star?lang=en,Mitsubishi,SOFADES,Space Star,43300
3923,"  Opel Movano '18 κόφα 3,5 Τ ΕΥΡΟ 6  2300cc160hp",28000,09/2018,98311,2300,160,Diesel,Manual,Commercial Passenger, SOFADES 43300,https://www.car.gr/classifieds/cars/view/325818257-opel-movano?lang=en,Opel,SOFADES,Unknown,43300
3924,  Renault Clio '14,10500,12/2014,265208,1500,90,Diesel,Manual,Compact/Hatchback, SOFADES 43300,https://www.car.gr/classifieds/cars/view/324706494-renault-clio?lang=en,Renault,SOFADES,Clio,43300
3925,  Mitsubishi Colt '13 Clear Tec,7400,02/2013,132113,1100,87,Petrol,Manual,Compact/Hatchback, SOFADES 43300,https://www.car.gr/classifieds/cars/view/320062138-mitsubishi-colt?lang=en,Mitsubishi,SOFADES,Colt,43300
3926,  Ford Transit Connect '08,6200,11/2008,260000,1798,1,Diesel,Manual,Commercial Passenger, SOFADES 43300,https://www.car.gr/classifieds/cars/view/331211450-ford-transit-connect?lang=en,Ford,SOFADES,Transit,43300
3927,  Volkswagen Golf '11 ΑΡΙΣΤΟ!!!!!,8700,09/2011,160000,1390,100,Petrol,Manual,Coupe-Sport, SOFADES 43300,https://www.car.gr/classifieds/cars/view/326888193-volkswagen-golf?lang=en,Volkswagen,SOFADES,Golf,43300
3928,  Opel Corsa '16 Eco Flex 1.3 Diesel,10000,09/2016,169393,1000,90,Diesel,Manual,Coupe-Sport, SOFADES 43300,https://www.car.gr/classifieds/cars/view/320065733-opel-corsa?lang=en,Opel,SOFADES,Corsa,43300
3929,  Renault Clio '15,10500,12/2015,91781,1500,90,Diesel,Manual,Compact/Hatchback, SOFADES 43300,https://www.car.gr/classifieds/cars/view/324707333-renault-clio?lang=en,Renault,SOFADES,Clio,43300
